id,code,name_jp
-1,Error,エラー
1,CTE,一般商工業
2,CNS,建設業
3,BNK,銀行・信託業
4,CNA,建設保証業
5,SEC,第一種金融商品取引業
6,INS,保険業
7,RWY,鉄道事業
8,WAT,海運事業
9,HWY,高速道路事業
10,ELC,電気通信事業
11,ELE,電気事業
12,GAS,ガス事業
13,LIQ,資産流動化業
14,IVT,投資運用業
15,INV,投資業
16,SPF,特定金融業
17,MED,社会医療法人
18,EDU,学校法人
19,CMD,商品先物取引業
20,LEA,リース事業
21,FND,投資信託受益証券
